Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D3_TH_SMD_v2,-44.652,45.768625,90.0,bottom
D10,D,D3_TH_SMD_v2,-3.652,31.7705,90.0,bottom
D11,D,D3_TH_SMD_v2,31.348,31.7655,90.0,bottom
D12,D,D3_TH_SMD_v2,34.348,31.7655,90.0,bottom
D13,D,D3_TH_SMD_v2,-44.652,7.768625,90.0,bottom
D14,D,D3_TH_SMD_v2,-41.652,7.7655,90.0,bottom
D15,D,D3_TH_SMD_v2,-6.652,12.7655,90.0,bottom
D16,D,D3_TH_SMD_v2,-3.652,12.7705,90.0,bottom
D17,D,D3_TH_SMD_v2,31.348,12.7655,90.0,bottom
D18,D,D3_TH_SMD_v2,34.348,12.7655,90.0,bottom
D19,D,D3_TH_SMD_v2,5.668,-7.2245,90.0,bottom
D2,D,D3_TH_SMD_v2,-41.652,45.7655,90.0,bottom
D20,D,D3_TH_SMD_v2,21.848,-7.2195,90.0,bottom
D21,D,D3_TH_SMD_v2,24.848,-7.2195,90.0,bottom
D22,D,D3_TH_SMD_v2,195.845347,45.765068,90.0,bottom
D23,D,D3_TH_SMD_v2,192.845347,45.765068,90.0,bottom
D24,D,D3_TH_SMD_v2,157.845347,50.765068,90.0,bottom
D25,D,D3_TH_SMD_v2,154.845347,50.770068,90.0,bottom
D26,D,D3_TH_SMD_v2,119.845347,50.765068,90.0,bottom
D27,D,D3_TH_SMD_v2,116.845347,50.765068,90.0,bottom
D28,D,D3_TH_SMD_v2,195.845347,26.765068,90.0,bottom
D29,D,D3_TH_SMD_v2,192.845347,26.765068,90.0,bottom
D3,D,D3_TH_SMD_v2,-6.652,50.7655,90.0,bottom
D30,D,D3_TH_SMD_v2,157.845347,31.765068,90.0,bottom
D31,D,D3_TH_SMD_v2,154.845347,31.770068,90.0,bottom
D32,D,D3_TH_SMD_v2,119.845347,31.765068,90.0,bottom
D33,D,D3_TH_SMD_v2,116.845347,31.765068,90.0,bottom
D34,D,D3_TH_SMD_v2,195.845347,7.765068,90.0,bottom
D35,D,D3_TH_SMD_v2,192.845347,7.765068,90.0,bottom
D36,D,D3_TH_SMD_v2,157.845347,12.765068,90.0,bottom
D37,D,D3_TH_SMD_v2,154.845347,12.770068,90.0,bottom
D38,D,D3_TH_SMD_v2,119.845347,12.765068,90.0,bottom
D39,D,D3_TH_SMD_v2,116.845347,12.765068,90.0,bottom
D4,D,D3_TH_SMD_v2,-3.652,50.7705,90.0,bottom
D40,D,D3_TH_SMD_v2,145.345347,-7.244932,90.0,bottom
D41,D,D3_TH_SMD_v2,129.355347,-7.229932,90.0,bottom
D42,D,D3_TH_SMD_v2,126.355347,-7.229932,90.0,bottom
D5,D,D3_TH_SMD_v2,31.348,50.7655,90.0,bottom
D6,D,D3_TH_SMD_v2,34.348,50.7655,90.0,bottom
D7,D,D3_TH_SMD_v2,-44.652,26.768625,90.0,bottom
D8,D,D3_TH_SMD_v2,-41.652,26.7655,90.0,bottom
D9,D,D3_TH_SMD_v2,-6.652,31.7655,90.0,bottom
J1,MJ-4PP-9,MJ-4PP-9_1side,64.4,7.2535,-90.0,top
J2,OLED,OLED_1side,61.999,14.5175,0.0,top
J5,Breakaway_Tabs,Breakaway_Tabs,165.988,-1.7045,0.0,top
J5,Breakaway_Tabs,Breakaway_Tabs,203.988,-1.7045,0.0,top
J5,Breakaway_Tabs,Breakaway_Tabs,165.958,59.7155,0.0,top
J5,Breakaway_Tabs,Breakaway_Tabs,127.938,59.7055,0.0,top
J5,Breakaway_Tabs,Breakaway_Tabs,23.418,59.7155,0.0,top
J5,Breakaway_Tabs,Breakaway_Tabs,-14.552,59.7155,0.0,top
J5,Breakaway_Tabs,Breakaway_Tabs,-14.655,-1.6945,0.0,top
J5,Breakaway_Tabs,Breakaway_Tabs,-52.64325,-1.6945,0.0,top
J6,MJ-4PP-9,MJ-4PP-9_1side,86.743347,7.120068,90.0,top
J7,OLED,OLED_1side,89.228,14.3755,0.0,top
RSW1,SW_PUSH,ResetSW_1side,69.665,15.0145,-90.0,top
RSW2,SW_PUSH,ResetSW_1side,81.535347,14.868068,-90.0,top
SW1,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,-52.652,45.592027,0.0,top
SW10,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,4.348,33.717027,0.0,top
SW11,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,23.348,31.342027,0.0,top
SW12,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,42.348,28.967027,0.0,top
SW13,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,-52.652,7.592027,0.0,top
SW14,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,-33.652,7.592027,0.0,top
SW15,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,-14.652,12.342027,0.0,top
SW16,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,4.348,14.717027,0.0,top
SW17,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,23.348,12.342027,0.0,top
SW18,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,42.348,9.967027,0.0,top
SW19,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,13.848,-7.282973,0.0,top
SW2,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,-33.652,45.592027,0.0,top
SW20,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,35.012766,-10.261324,-15.0,top
SW21,SW_PUSH,keyswitch_cherrymx_alps_choc12_1.5u,57.152075,-13.242893,60.0,top
SW22,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,203.845347,45.591595,0.0,top
SW23,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,184.845347,45.591595,0.0,top
SW24,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,165.845347,50.341595,0.0,top
SW25,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,146.845347,52.716595,0.0,top
SW26,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,127.845347,50.341595,0.0,top
SW27,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,108.845347,47.966595,0.0,top
SW28,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,203.845347,26.591595,0.0,top
SW29,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,184.845347,26.591595,0.0,top
SW3,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,-14.652,50.342027,0.0,top
SW30,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,165.845347,31.341595,0.0,top
SW31,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,146.845347,33.716595,0.0,top
SW32,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,127.845347,31.341595,0.0,top
SW33,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,108.845347,28.966595,0.0,top
SW34,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,203.845347,7.591595,0.0,top
SW35,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,184.845347,7.591595,0.0,top
SW36,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,165.845347,12.341595,0.0,top
SW37,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,146.845347,14.716595,0.0,top
SW38,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,127.845347,12.341595,0.0,top
SW39,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,108.845347,9.966595,0.0,top
SW4,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,4.348,52.717027,0.0,top
SW40,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,137.345347,-7.283405,0.0,top
SW41,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,116.345347,-9.380447,15.0,top
SW42,SW_PUSH,keyswitch_cherrymx_alps_choc12_1.5u,94.773637,-13.558553,-60.0,top
SW5,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,23.348,50.342027,0.0,top
SW6,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,42.348,47.967027,0.0,top
SW7,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,-52.652,26.592027,0.0,top
SW8,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,-33.652,26.592027,0.0,top
SW9,SW_PUSH,keyswitch_cherrymx_alps_choc12_1u,-14.652,31.342027,0.0,top
U1,ProMicro,ProMicro_v3,62.0544,35.6335,0.0,top
U2,ProMicro,ProMicro_v3,89.224747,35.507068,0.0,top
